Guide ID,Guide Name,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Total
1305724,"HIS 146 - U.S. Women's History, 1890-Present, Dr. Frazier",0,0,0,3,4,0,0,2,0,9,2,0,0,20
42370,Federal Regulations,0,0,0,0,3,1,0,1,3,7,4,0,0,19
139110,HIS 352: Topics in the History of Women and Gender,0,1,1,0,7,0,3,0,0,5,1,1,0,19
153991,Rhode Island Political History,3,1,0,0,3,0,1,0,0,5,4,0,0,17
557196,ECN 445,0,0,1,0,1,1,0,1,6,2,2,0,3,17
42498,Cell and Molecular Biology,1,0,0,2,0,2,3,0,1,6,1,0,0,16
411987,Library Systems Status,0,0,0,1,1,1,4,3,2,3,0,0,1,16
880299,Atlantic History,2,0,0,0,1,0,0,0,0,8,0,4,0,15
42423,"Life Sciences, Marine, and Environment - Internet Resources",0,0,1,2,2,1,0,1,1,3,3,0,0,14
42450,"HIS 314: 17th and 18th Century European Cultural History, Prof. Rusnock",1,0,0,0,1,0,1,0,0,8,1,1,1,14
42657,HIS 342: United States History from 1968-2001,0,0,0,5,2,0,0,0,0,7,0,0,0,14
42340,Marine Affairs,0,1,0,1,0,0,1,1,1,7,0,0,1,13
42474,Family Topics,0,0,0,2,0,2,0,0,2,4,1,1,1,13
42626,SPA 325: Introduction to Literary Genres,0,0,0,0,0,2,2,1,0,8,0,0,0,13
585808,Copyright and Sharing Your Research,0,1,3,0,1,3,1,1,0,2,0,1,0,13
741172,HIS 335: American Colonial History to 1763,0,2,0,0,2,0,3,0,2,4,0,0,0,13
42642,ENG 486: British Authors,1,0,0,1,1,0,0,1,2,6,0,0,0,12
42485,"HIS 441 & 495, Prof. DeCesare",0,2,0,1,0,1,0,0,0,7,0,0,0,11
394280,"HIS 481 & 495, Prof. Verskin",0,0,2,0,0,0,0,0,1,6,1,1,0,11
1012697,Coronavirus and the URI Libraries,0,0,2,0,0,2,0,1,3,2,1,0,0,11
42349,"HIS 341: U.S. History, 1945 - 74",0,0,0,0,0,0,0,0,0,7,2,1,0,10
42350,"HIS 401 & 495, Prof. Honhart",0,0,0,0,0,0,0,0,1,9,0,0,0,10
42553,"HIS 441 & 495, Prof. Loomis",1,0,0,0,0,0,0,0,0,9,0,0,0,10
42579,"HIS 401 & 495, Prof. Buxton",0,2,0,0,0,0,0,0,0,8,0,0,0,10
618907,"HIS 441 & 495, Prof. Gonzales",0,0,0,0,0,0,0,0,0,5,0,5,0,10
921823,Celebrating the Public Domain,0,0,0,1,0,1,1,0,4,2,1,0,0,10
1026716,Black Women's Suffrage in Rhode Island,0,0,0,2,2,0,1,0,1,4,0,0,0,10
42438,"HIS 441 & 495, Prof. Sterne",0,0,0,0,2,3,1,0,0,2,0,1,0,9
42540,Reference Managers: Mendeley & Zotero,1,0,0,8,0,0,0,0,0,0,0,0,0,9
207357,"HIS 350: Documenting Rhode Island History, Prof. Widell",0,1,0,0,1,1,0,1,0,3,2,0,0,9
1130487,HIS 146: Women Can't Win Project,0,0,0,0,3,1,0,1,0,3,1,0,0,9
42351,"HIS 441 & 495, Prof. Widell",0,0,0,0,0,0,0,0,0,7,0,0,0,7
1126593,HIS 508: The Middle East Through Western Eyes,0,0,0,1,0,0,3,0,0,3,0,0,0,7
1178056,"HIS 357: History of Religion in the United States, Dr. Sterne",0,0,0,0,0,0,0,0,0,3,0,1,3,7
1353464,HIS 401 &amp; 495 - Prof. Rusnock,0,0,0,0,0,0,0,4,0,3,0,0,0,7
1274222,"HIS 507: Seminar In United States History, Dr. Reumann",0,0,0,0,0,0,0,0,0,3,1,0,0,4
42443,Education - Articles & Databases,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42378,Identifying Scholarly/Professional Journal Articles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1454970,HIS 362 Rhode Island History,0,0,0,0,0,0,0,0,0,0,0,0,0,0
